PROJ_NAME,TRACK_GROUP,TRACK,DOMAIN,TASK,,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",Discover the system as part of domain network,,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",Identify the scope of operating system version,,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",Altiris agent remote install for windows workstations and windows servers,,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",Plugins component install for windows workstations and windows servers,,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",Create a filter for pilot group of systems and windows development servers,,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",Create a filter for production windows workstations  and windows production servers,,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",To check the agent health status,,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",To check agent last configuration scan date,,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",Ensure that all the mandatory roles are installed,,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",Download the monthly security updates from microsoft to altiris catalog,,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",Select the security updates and create a patch policy,,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",Target the monthly patch policy to respective filters,,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",Create a patch schedule policy and target to respective filter,,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",set the force reboot policy to windows workstations,,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",monitor the patch compliance report for targeted filters,,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",Validate the patch compliance and reboot status for workstations and windows servers,,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",Validate the reboot confirmation using reboot script and Patch report from altiris console ,,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",send the reboot status report to DC operation team,,,
Ann Taylor,WINTEL DOMAIN,Windows,Powershell,Disk space alerts,,,
Ann Taylor,WINTEL DOMAIN,Windows,Powershell,CPU & Memory usage report ,,,
Ann Taylor,WINTEL DOMAIN,Windows,"Tools, Optibot, Python & Misc",Firmware Installation/Upgrade,,,
Ann Taylor,WINTEL DOMAIN,Windows,Powershell,Data store status check,,,
Ann Taylor,WINTEL DOMAIN,Wintel,"Tools, Optibot, Python & Misc",Creating VMs using Templates,,,
Ann Taylor,WINTEL DOMAIN,Vmware,"Tools, Optibot, Python & Misc",Host Profile Configuration,,,
Ann Taylor,WINTEL DOMAIN,Vmware,"Tools, Optibot, Python & Misc","VMware alert - Host, Memory and Data store Disk Usage",,,
Ann Taylor,WINTEL DOMAIN,Windows,Powershell,c drive cleanup,,,
Ann Taylor,NETWORKS DOMAIN,Network Voice,"Tools, Optibot, Python & Misc",CUCM critical services monitoring,,,
Ann Taylor,NETWORKS DOMAIN,Network Voice,"Tools, Optibot, Python & Misc",911 Alert Monitoring,,,
Ann Taylor,NETWORKS DOMAIN,Network Voice,"Tools, Optibot, Python & Misc",Call Forwarding in IP Phones,,,
Becton Dickinson,WINTEL DOMAIN,AD,Powershell,AD Replication status,,,
Becton Dickinson,WINTEL DOMAIN,AD,Powershell,DNS Health Status,,,
Becton Dickinson,WINTEL DOMAIN,AD,Powershell,SPN creation,,,
Becton Dickinson,WINTEL DOMAIN,AD,Powershell,SPN Delegation,,,
Becton Dickinson,WINTEL DOMAIN,AD,Powershell,Account Lockout,,,
Becton Dickinson,WINTEL DOMAIN,AD,Powershell,Password reset for Non user account,,,
Becton Dickinson,WINTEL DOMAIN,AD,"Tools, Optibot, Python & Misc",GPO Backup,,,
Becton Dickinson,WINTEL DOMAIN,AD,Powershell,LDAP Testings,,,
Becton Dickinson,WINTEL DOMAIN,AD,Powershell,Domain Controller Unavailable,,,
Becton Dickinson,WINTEL DOMAIN,AD,Powershell,Domain Controller monitoring,,,
Becton Dickinson,WINTEL DOMAIN,"AD, DNS","Tools, Optibot, Python & Misc",Creating/Deleting/disable User/machine Accounts,,,
Becton Dickinson,WINTEL DOMAIN,AD,Powershell,Time Sync check & resync,,,
Becton Dickinson,WINTEL DOMAIN,AD,"Tools, Optibot, Python & Misc",Moving the users from on OU to another OU,,,
Becton Dickinson,WINTEL DOMAIN,AD,Powershell,FRS/DFSR replication Status,,,
Becton Dickinson,WINTEL DOMAIN,AD,Powershell,Creating the resource record under DNS,,,
Becton Dickinson,WINTEL DOMAIN,"AD, DNS",Powershell,AD object Count,,,
Becton Dickinson,WINTEL DOMAIN,AD,Powershell,Local Admin group management by GPO,,,
Becton Dickinson,STORAGE AND BACKUP DOMAIN,Backup & Restore,K-ShellScript,Daily Health check -Actions ,,,
Becton Dickinson,STORAGE AND BACKUP DOMAIN,Backup & Restore,ShellScript,Drive HP.ULTRIUM* is Down,,,
Becton Dickinson,STORAGE AND BACKUP DOMAIN,Backup & Restore,Powershell,NBU-CATALOG-BACKUP completed  on client,,,
Becton Dickinson,STORAGE AND BACKUP DOMAIN,Backup & Restore,BashShellScript,NBU completed  on client with Exit Status 58,,,
Becton Dickinson,STORAGE AND BACKUP DOMAIN,Backup & Restore,ShellScript,Backup failure due to access issue,,,
Becton Dickinson,STORAGE AND BACKUP DOMAIN,Backup & Restore,Powershell,Netback Service Recycle,,,
Becton Dickinson,STORAGE AND BACKUP DOMAIN,Backup & Restore,Powershell,Netbackup client upgrade,,,
Becton Dickinson,STORAGE AND BACKUP DOMAIN,Backup & Restore,K-ShellScript,Ad-hoc backup request,,,
Becton Dickinson,STORAGE AND BACKUP DOMAIN,Backup & Restore,Powershell,Backup status reporting,,,
Becton Dickinson,WINTEL DOMAIN,Citrix,Powershell,XenApp Servers Logons and Loads Report Analysis,,,
Becton Dickinson,WINTEL DOMAIN,Citrix,Powershell,XenApp Servers Vdisk Cache & Drive Space report,,,
Becton Dickinson,WINTEL DOMAIN,Citrix,"Tools, Optibot, Python & Misc",XenApp Server Scheduled Reboot,,,
Becton Dickinson,SD AND DATACENTER DOMAIN,DC Ops,"Tools, Optibot, Python & Misc",Cisco Prime alerts via Spectrum,,,
Becton Dickinson,SD AND DATACENTER DOMAIN,DC Ops,"Tools, Optibot, Python & Misc",Alerts from Email,,,
Becton Dickinson,SD AND DATACENTER DOMAIN,DC Ops,"Tools, Optibot, Python & Misc",HP-SIM hardware alerts monitoring,,,
Becton Dickinson,SD AND DATACENTER DOMAIN,DC Ops,Powershell,Alert Acknowledgement,,,
Becton Dickinson,SD AND DATACENTER DOMAIN,DC Ops,"Tools, Optibot, Python & Misc",Reports Daily,,,
Becton Dickinson,SD AND DATACENTER DOMAIN,DC Ops,"Tools, Optibot, Python & Misc",Reports Weekly,,,
Becton Dickinson,WINTEL DOMAIN,GAM,Powershell,GMB Access,,,
Becton Dickinson,WINTEL DOMAIN,GAM,Powershell,DL Access,,,
Becton Dickinson,MESSAGING DOMAIN,Messaging,Powershell,InterDomain Mailbox Move,,,
Becton Dickinson,MESSAGING DOMAIN,Messaging,Powershell,Mailbox Export/Restore Request,,,
Becton Dickinson,MESSAGING DOMAIN,Messaging,Powershell,DL Owner or Permission change,,,
Becton Dickinson,MESSAGING DOMAIN,Messaging,Powershell,DAG Failover/ DB Status check/Service restart,,,
Becton Dickinson,MESSAGING DOMAIN,Messaging,Powershell,Restart exchange services,,,
Becton Dickinson,MESSAGING DOMAIN,Messaging,Powershell,Exchange service failover ,,,
Becton Dickinson,MESSAGING DOMAIN,Messaging,Powershell,Set of OOO,,,
Becton Dickinson,MESSAGING DOMAIN,Messaging,Powershell,Change DL co-ownner,,,
Becton Dickinson,MESSAGING DOMAIN,Messaging,Powershell,DAG Health status,,,
Becton Dickinson,MESSAGING DOMAIN,Messaging,Powershell,O365 Distribution List Members Modification,,,
Becton Dickinson,MESSAGING DOMAIN,Messaging,Powershell,O365 License Assigning,,,
Becton Dickinson,MESSAGING DOMAIN,Messaging,Powershell,Exchange Queue status,,,
Becton Dickinson,MESSAGING DOMAIN,Messaging,Powershell,Exchange Server Drive Space Status,,,
Becton Dickinson,MESSAGING DOMAIN,Messaging,Powershell,Exchange Database Backup Status,,,
Becton Dickinson,MESSAGING DOMAIN,Messaging,Powershell,RightFax Server Health Checkup,,,
